hora,dato
10:00:00,0
11:00:00,0
12:00:00,2.5
13:00:00,30.5054
14:00:00,64.8145
15:00:00,5.129
16:00:00,102.87963
17:00:00,0
18:00:00,18.77785
19:00:00,0.841
20:00:00,22.221
21:00:00,0
22:00:00,1.716225
23:00:00,2.88629
0:00:00,3.06606
1:00:00,0
2:00:00,51.2595
3:00:00,37.214
4:00:00,0.921
5:00:00,8.573
6:00:00,0
7:00:00,8.3921
8:00:00,29.57762
9:00:00,0.7392
10:00:00,0
11:00:00,5.03152
12:00:00,1.85913
13:00:00,1.539097
14:00:00,3.402297
15:00:00,0
16:00:00,0
17:00:00,0
18:00:00,-2.20052
19:00:00,5
20:00:00,13.0451
21:00:00,138.09831
22:00:00,7.305432
23:00:00,1.73726
0:00:00,0
1:00:00,4.15537
2:00:00,9.143
3:00:00,0
4:00:00,0
5:00:00,0
6:00:00,4.614509
7:00:00,10.495425
8:00:00,21.54677
9:00:00,8.2824
10:00:00,6.430459
11:00:00,0
12:00:00,0
13:00:00,91.1565
14:00:00,6.848
15:00:00,-0.304159
16:00:00,0
17:00:00,0.079128
18:00:00,137.94975
19:00:00,6.6712
20:00:00,0
21:00:00,0
22:00:00,0
23:00:00,9.7065
0:00:00,0
1:00:00,42.989
2:00:00,4.731
3:00:00,1.558
4:00:00,0
5:00:00,4.59688
6:00:00,0.9
7:00:00,0
8:00:00,0
9:00:00,8.4318
10:00:00,29.62731
11:00:00,0.7392
12:00:00,13.71569
13:00:00,5.11619
14:00:00,9.72609
15:00:00,3.982628
16:00:00,51.904
17:00:00,0
18:00:00,2.17592
19:00:00,8.738731
20:00:00,5
21:00:00,17.1877
22:00:00,40.33441
23:00:00,4.2312
0:00:00,0.36596
1:00:00,8.53334
2:00:00,17.6915
3:00:00,8.78793
4:00:00,7.022
5:00:00,4.149
6:00:00,8.453749
7:00:00,9.0315
8:00:00,4.8704
9:00:00,16.81843
10:00:00,1.53396
11:00:00,0
12:00:00,0
13:00:00,2.22084
14:00:00,0.68198
15:00:00,0
16:00:00,2.156
17:00:00,0.0558
18:00:00,0.3315
19:00:00,7.018
20:00:00,4.16425
21:00:00,8.452364
22:00:00,9.1609
23:00:00,0
0:00:00,0
1:00:00,4.628108
2:00:00,10.867465
3:00:00,21.10655
4:00:00,24.65
5:00:00,8.2868
6:00:00,6.492543
7:00:00,0
8:00:00,0
9:00:00,94.7665
10:00:00,0
11:00:00,0
12:00:00,3.940338
13:00:00,5
14:00:00,13.0283
15:00:00,137.81838
16:00:00,3.2815
17:00:00,7.283458
18:00:00,4.21385
19:00:00,0
20:00:00,0
21:00:00,0
22:00:00,4.734
23:00:00,0
0:00:00,0
1:00:00,0
2:00:00,0
3:00:00,0.9
4:00:00,0
5:00:00,21.01453
6:00:00,3.27432
7:00:00,11.42582
8:00:00,0.00002
9:00:00,59.632
10:00:00,1.5354
11:00:00,0
12:00:00,2.21472
13:00:00,4.77693
14:00:00,0
15:00:00,0
16:00:00,0.0556
17:00:00,0
18:00:00,17.5995
19:00:00,30.79585
20:00:00,7.0195
21:00:00,8.448596
22:00:00,10.9604
23:00:00,-0.993628
0:00:00,4.3757
1:00:00,16.3675
2:00:00,4.52516
3:00:00,23.775535
4:00:00,0
5:00:00,24.65
6:00:00,8.2842
7:00:00,51.776
8:00:00,0
9:00:00,0
10:00:00,0
11:00:00,13.045772
12:00:00,5
13:00:00,18.2098
14:00:00,10.6645
15:00:00,3.03578
16:00:00,9.865474
17:00:00,12.82216
18:00:00,0
19:00:00,0
20:00:00,0
21:00:00,0
22:00:00,68.280993
23:00:00,13.162186
0:00:00,5
1:00:00,19.324
2:00:00,11.3731
3:00:00,3.03312
4:00:00,10.382113
5:00:00,15.08014
6:00:00,26.73112
7:00:00,7.024
8:00:00,4.13613
9:00:00,8.443103
10:00:00,9.463
11:00:00,20.86897
12:00:00,4.540169
13:00:00,15.68391
14:00:00,20.31312
15:00:00,24.65
16:00:00,8.2874
17:00:00,14.68211
18:00:00,74.004
19:00:00,50.9335
20:00:00,32.16313
21:00:00,0
22:00:00,14.237
23:00:00,29.515
0:00:00,0.88725
1:00:00,0
2:00:00,19.83119
3:00:00,13.15281
4:00:00,6.170541
5:00:00,0.112058
6:00:00,23.37875
7:00:00,23.804
8:00:00,3.14248
9:00:00,0
10:00:00,-4.355018
11:00:00,2.5
12:00:00,20.65899
13:00:00,58.8085
14:00:00,91.09163
15:00:00,49.300164
16:00:00,14.31592
17:00:00,27.307435
18:00:00,51.968
19:00:00,0
20:00:00,1.6779
21:00:00,0
22:00:00,2.4268
23:00:00,15.615134
0:00:00,3.18083
1:00:00,0
2:00:00,31.29868
3:00:00,2.9803
4:00:00,3.02739
5:00:00,0.9555
6:00:00,34.836
7:00:00,88.91837
8:00:00,49.53168
9:00:00,12.91
10:00:00,8.444817
11:00:00,-3.212616
12:00:00,2.385
13:00:00,27.75056
14:00:00,5.010572
15:00:00,14.19315
16:00:00,25.55687
17:00:00,0
18:00:00,24.65
19:00:00,88.58063
20:00:00,46.852
21:00:00,0
22:00:00,-2.692083
23:00:00,2.5
0:00:00,118.19075
1:00:00,1.4803
2:00:00,29.28818
3:00:00,0.078408
4:00:00,53.54212
5:00:00,7.2294
6:00:00,0
7:00:00,0.5923
8:00:00,1.264936
9:00:00,9.745
10:00:00,60.123
11:00:00,1.166
12:00:00,6.0625
13:00:00,28.88925
14:00:00,0
15:00:00,11.654
16:00:00,29.56381
17:00:00,0.76545
18:00:00,0
19:00:00,18.46467
20:00:00,15.15048
21:00:00,7.179446
22:00:00,0.111927
23:00:00,23.02575
0:00:00,2.0268
1:00:00,0
2:00:00,0
3:00:00,2.88828
4:00:00,11.3802
5:00:00,0
6:00:00,5.212
7:00:00,121.37075
8:00:00,1.4038
9:00:00,20.0735
10:00:00,35.7261
11:00:00,7.0135
12:00:00,4.1255
13:00:00,8.443552
14:00:00,9.492
15:00:00,23.46228
16:00:00,4.569543
17:00:00,15.543676
18:00:00,32.12161
19:00:00,0
20:00:00,24.65
21:00:00,8.2848
22:00:00,14.635899
23:00:00,0
0:00:00,83.53975
1:00:00,5.056
2:00:00,29.347214
3:00:00,0
4:00:00,0.076428
5:00:00,68.74087
6:00:00,0.8878
7:00:00,0
8:00:00,2.5333
9:00:00,5.038852
10:00:00,9.6735
11:00:00,0
12:00:00,4.735
13:00:00,5.36
14:00:00,33.15225
15:00:00,5.49692
16:00:00,8.83946
17:00:00,4.1504
18:00:00,0.9
19:00:00,0
20:00:00,0
21:00:00,16.4875
22:00:00,5.70318
23:00:00,7.39507
0:00:00,17.63723
1:00:00,10.68339
2:00:00,5.184
3:00:00,170.1915
4:00:00,2.21634
5:00:00,0
6:00:00,0.077256
7:00:00,3.2508
8:00:00,0
9:00:00,5.86346
10:00:00,9.719
11:00:00,8.62017
12:00:00,20.5817
13:00:00,14.660739
14:00:00,1.8692
15:00:00,1.77984
16:00:00,0
17:00:00,0
18:00:00,2.826
19:00:00,7.63019
20:00:00,0
21:00:00,5.2143
22:00:00,0.055
23:00:00,20.08
0:00:00,64.6615
1:00:00,38.686
2:00:00,32.70587
3:00:00,12.5113
4:00:00,29.53444
5:00:00,0.88725
6:00:00,0
7:00:00,14.88463
8:00:00,7.800562
9:00:00,0.111964
10:00:00,52.224
11:00:00,0
12:00:00,0
13:00:00,0
14:00:00,37.771455
15:00:00,13.184207
16:00:00,5
17:00:00,24.9689
18:00:00,3.03395
19:00:00,10.487255
20:00:00,16.15064
21:00:00,0
22:00:00,4.733
23:00:00,14.18285
0:00:00,5.08957
